route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
Q66,MTABC,Q66,"Flushing - Long Island City","Via Northern Blvd / 21St St / Queens Plaza",3,http://web.mta.info/busco/schedules/q066cur.pdf,EE352E,FFFFFF
Q67,MTABC,Q67,"Middle Village - Long Island City","Via 69Th St / Borden Av",3,http://web.mta.info/busco/schedules/q067cur.pdf,FAA61A,FFFFFF
Q69,MTABC,Q69,"Long Island City - Astoria","Via 21St St / Ditmars Blvd",3,http://web.mta.info/busco/schedules/q069cur.pdf,00AEEF,FFFFFF
Q72,MTABC,Q72,"LaGuardia Airport - Rego Park","Via 94Th St / Junction Blvd",3,http://web.mta.info/busco/schedules/q072cur.pdf,B933AD,FFFFFF
B100,MTABC,B100,"Mill Basin - Midwood","Via Fillmore Av / Quentin Rd",3,http://web.mta.info/busco/schedules/b100cur.pdf,B933AD,FFFFFF
B103,MTABC,B103,"Canarsie - Downtown Brooklyn Ltd","Via Ave M / Ave H / 3Rd & 4Th Ave",3,http://web.mta.info/busco/schedules/b103cur.pdf,FAA61A,FFFFFF
BM1,MTABC,BM1,"Mill Basin - Downtown/Midtown","Via E 66 St / Ave K / Ocean Av / Cortelyou Rd",3,http://web.mta.info/busco/schedules/bm001cur.pdf,00933C,FFFFFF
BM2,MTABC,BM2,"Canarsie/Spring Creek - Downtown/Midtown","Via Ave M/ Ave H / Cortelyou Rd",3,http://web.mta.info/busco/schedules/bm002cur.pdf,00933C,FFFFFF
BM3,MTABC,BM3,"Sheepshead Bay - Downtown/Midtown","Via Sheepshead Bay / Ocean Ave / Cortelyou Rd",3,http://web.mta.info/busco/schedules/bm003cur.pdf,00933C,FFFFFF
BM4,MTABC,BM4,"Gerritsen Beach - Downtown/Midtown","Via Gerritsen Av / Nostrand Av / Ocean Av",3,http://web.mta.info/busco/schedules/bm004cur.pdf,00933C,FFFFFF
BM5,MTABC,BM5,"Spring Creek - Midtown","Via Pennsylvania Av / Linden Blvd / Woodhaven Blvd",3,http://web.mta.info/busco/schedules/bm005cur.pdf,00933C,FFFFFF
BX23,MTABC,Bx23,"Pelham Bay - Co-Op City","Via Co-Op City Sections 1 - 2 - 3 - 4 - 5",3,http://web.mta.info/busco/schedules/bx023cur.pdf,B933AD,FFFFFF
BXM1,MTABC,BxM1,"Riverdale - East Midtown","Via Riverdale / H. Hudson / Lex & 3 Av",3,http://web.mta.info/busco/schedules/bxm1cur.pdf,00933C,FFFFFF
BXM10,MTABC,BxM10,"Williamsbridge/Morris Park - Midtown","Via Eastchester / Morris Pk",3,http://web.mta.info/busco/schedules/bxm10cur.pdf,00933C,FFFFFF
BXM11,MTABC,BxM11,"Wakefield - Midtown","Via White Plains Rd / 5Th & Madison Av",3,http://web.mta.info/busco/schedules/bxm11cur.pdf,00933C,FFFFFF
BXM18,MTABC,BxM18,"Riverdale - Downtown","Via Riverdale / H. Hudsn / Bway & Trnty",3,http://web.mta.info/busco/schedules/bxm18cur.pdf,00933C,FFFFFF
BXM2,MTABC,BxM2,"Riverdale - West Midtown","Via Riverdale / H. Hudson / 6Th & 7Th Av",3,http://web.mta.info/busco/schedules/bxm2cur.pdf,00933C,FFFFFF
BXM3,MTABC,BxM3,"Yonkers - Midtown","Via Bway / Sedgwick Av / 5Th & Madison",3,http://web.mta.info/busco/schedules/bxm3cur.pdf,00933C,FFFFFF
BXM4,MTABC,BxM4,"Woodlawn - Midtown","Via Katonah Av / Grand Concourse",3,http://web.mta.info/busco/schedules/bxm4cur.pdf,00933C,FFFFFF
BXM6,MTABC,BxM6,"Parkchester - Midtown","Via Metropolitan Oval / 5Th & Madison",3,http://web.mta.info/busco/schedules/bxm6cur.pdf,00933C,FFFFFF
BXM7,MTABC,BxM7,"Co-Op City - Midtown","Via Co-Op City Bl / Bartow / 5Th & Mad",3,http://web.mta.info/busco/schedules/bxm7cur.pdf,00933C,FFFFFF
BXM8,MTABC,BxM8,"Pelham Bay/City Island - Midtown","Via Bruckner Blvd / 5Th & Madison",3,http://web.mta.info/busco/schedules/bxm8cur.pdf,00933C,FFFFFF
BXM9,MTABC,BxM9,"Throgs Neck - Midtown","Via Edgewater Pk / Throgs Neck / Schuylerville",3,http://web.mta.info/busco/schedules/bxm9cur.pdf,00933C,FFFFFF
Q100,MTABC,Q100,"Astoria / Rikers Island - Long Island City Limited","Via 21St St / 20Th Av",3,http://web.mta.info/busco/schedules/q100cur.pdf,FAA61A,FFFFFF
Q101,MTABC,Q101,"Astoria - East Midtown","Via Steinway St",3,http://web.mta.info/busco/schedules/q101cur.pdf,6CBE45,FFFFFF
Q102,MTABC,Q102,"Astoria - Roosevelt Island","Via 30Th Av / 31St St",3,http://web.mta.info/busco/schedules/q102cur.pdf,006CB7,FFFFFF
Q103,MTABC,Q103,"Astoria - Hunters Point","Via Vernon Blvd",3,http://web.mta.info/busco/schedules/q103cur.pdf,EE352E,FFFFFF
Q104,MTABC,Q104,"Long Island City - Sunnyside","Via Broadway / 48Th St",3,http://web.mta.info/busco/schedules/q104cur.pdf,B933AD,FFFFFF
Q110,MTABC,Q110,"Jamaica - Queens Village","Via Jamaica Av / Hempstead Av",3,http://web.mta.info/busco/schedules/q110cur.pdf,006CB7,FFFFFF
Q111,MTABC,Q111,"Jamaica - Rosedale","Via Brewer Blvd / 147 Av",3,http://web.mta.info/busco/schedules/q111cur.pdf,EE352E,FFFFFF
