from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
124,124,,,10798452,10798517,1,
124,124,,,10798455,10798519,1,
140,140,,,10798601,10798520,1,
124,124,,,10798457,10798521,1,
124,124,,,10798559,10798522,1,
124,124,,,10798560,10798523,1,
124,124,,,10798461,10798525,1,
124,124,,,10798562,10798525,1,
124,124,,,10798479,10798528,1,
124,124,,,10798482,10798529,1,
124,124,,,10798483,10798530,1,
124,124,,,10798485,10798532,1,
124,124,,,10798486,10798533,1,
124,124,,,10798487,10798535,1,
124,124,,,10798488,10798536,1,
124,124,,,10798491,10798538,1,
124,124,,,10798514,10798555,1,
124,124,,,10798517,10798556,1,
124,124,,,10798519,10798557,1,
124,124,,,10798524,10798561,1,
131,131,,,10798475,10798563,1,
124,124,,,10798479,10798565,1,
131,131,,,10798479,10798565,1,
131,131,,,10798466,10798566,1,
131,131,,,10798485,10798567,1,
131,131,,,10798487,10798568,1,
124,124,,,10798491,10798571,1,
131,131,,,10798491,10798571,1,
131,131,,,10798508,10798580,1,
140,140,,,10798475,10798588,1,
140,140,,,10798482,10798589,1,
140,140,,,10798488,10798592,1,
140,140,,,10798508,10798598,1,
74,74,,,10798993,10798698,1,
74,74,,,10798796,10798702,1,
124,124,,,10798501,10798721,1,
124,124,,,10798591,10798736,1,
140,140,,,10798591,10798736,1,
140,140,,,10798593,10798740,1,
124,124,,,10798439,10798746,1,
74,74,,,10798989,10798750,1,
74,74,,,10799021,10798751,1,
74,74,,,10799022,10798752,1,
124,124,,,10798433,10798758,1,
124,124,,,10798510,10798759,1,
74,74,,,10799031,10798792,1,
74,74,,,10799034,10798794,1,
74,74,,,10798905,10798804,1,
74,74,,,10798738,10798808,1,
33,33,,,10799112,10798817,1,
94,94,,,10798806,10798856,1,
74,74,,,10798738,10798858,1,
94,94,,,10798810,10798859,1,
94,94,,,10798813,10798860,1,
74,74,,,10798991,10798868,1,
74,74,,,10798796,10798871,1,
74,74,,,10799012,10798917,1,
74,74,,,10799014,10798920,1,
74,74,,,10799016,10798924,1,
74,74,,,10799017,10798934,1,
74,74,,,10799018,10798940,1,
74,74,,,10799019,10798943,1,
74,74,,,10799020,10798945,1,
74,74,,,10799023,10798961,1,
74,74,,,10799024,10798965,1,
74,74,,,10799025,10798967,1,
74,74,,,10799026,10798970,1,
74,74,,,10799028,10798976,1,
74,74,,,10799036,10798983,1,
74,74,,,10799037,10798984,1,
74,74,,,10799038,10798985,1,
74,74,,,10798867,10798990,1,
74,74,,,10798869,10798992,1,
74,74,,,10798870,10798994,1,
62,62,,,10798699,10798995,1,
74,74,,,10798699,10798995,1,
62,62,,,10798700,10798996,1,
74,74,,,10798700,10798996,1,
62,62,,,10798875,10798998,1,
74,74,,,10798875,10798998,1,
74,74,,,10798878,10798999,1,
74,74,,,10798879,10799000,1,
74,74,,,10798880,10799001,1,
74,74,,,10798883,10799002,1,
74,74,,,10798889,10799003,1,
74,74,,,10798891,10799004,1,
74,74,,,10798899,10799006,1,
74,74,,,10798914,10799010,1,
74,74,,,10798729,10799011,1,
74,74,,,10798731,10799013,1,
74,74,,,10798919,10799015,1,
74,74,,,10798972,10799027,1,
74,74,,,10798977,10799029,1,
74,74,,,10798978,10799032,1,
74,74,,,10798793,10799033,1,
74,74,,,10798982,10799035,1,
74,74,,,10798986,10799039,1,
33,33,,,10799106,10799044,1,
33,33,,,10799115,10799058,1,
33,33,,,10799121,10799061,1,
33,33,,,10799126,10799065,1,
33,33,,,10799128,10799067,1,
27,27,,,10799133,10799071,1,
33,33,,,10799133,10799071,1,
27,27,,,10799134,10799073,1,
33,33,,,10799134,10799073,1,
27,27,,,10799136,10799075,1,
33,33,,,10799136,10799075,1,
27,27,,,10799138,10799077,1,
33,33,,,10799138,10799077,1,
27,27,,,10799140,10799080,1,
33,33,,,10799140,10799080,1,
27,27,,,10799142,10799083,1,
33,33,,,10799142,10799083,1,
27,27,,,10799143,10799086,1,
33,33,,,10799143,10799086,1,
27,27,,,10799145,10799088,1,
33,33,,,10799145,10799088,1,
27,27,,,10799147,10799089,1,
33,33,,,10799147,10799089,1,
27,27,,,10799148,10799090,1,
33,33,,,10799148,10799090,1,
27,27,,,10799150,10799092,1,
33,33,,,10799150,10799092,1,
18,18,,,10799152,10799094,1,
27,27,,,10799152,10799094,1,
33,33,,,10799152,10799094,1,
18,18,,,10799153,10799096,1,
27,27,,,10799153,10799096,1,
33,33,,,10799153,10799096,1,
18,18,,,10799154,10799098,1,
27,27,,,10799154,10799098,1,
33,33,,,10799154,10799098,1,
33,33,,,10799155,10799099,1,
33,33,,,10799157,10799101,1,
11,11,,,10799045,10799107,1,
18,18,,,10799045,10799107,1,
27,27,,,10799045,10799107,1,
33,33,,,10799045,10799107,1,
11,11,,,10799047,10799108,1,
18,18,,,10799047,10799108,1,
27,27,,,10799047,10799108,1,
33,33,,,10799047,10799108,1,
11,11,,,10799048,10799110,1,
18,18,,,10799048,10799110,1,
27,27,,,10799048,10799110,1,
33,33,,,10799048,10799110,1,
11,11,,,10799050,10799111,1,
18,18,,,10799050,10799111,1,
27,27,,,10799050,10799111,1,
33,33,,,10799050,10799111,1,
27,27,,,10799053,10799113,1,
33,33,,,10799053,10799113,1,
27,27,,,10799055,10799116,1,
33,33,,,10799055,10799116,1,
27,27,,,10799057,10799118,1,
33,33,,,10799057,10799118,1,
27,27,,,10799059,10799119,1,
33,33,,,10799059,10799119,1,
27,27,,,10799060,10799120,1,
33,33,,,10799060,10799120,1,
27,27,,,10799062,10799122,1,
33,33,,,10799062,10799122,1,
27,27,,,10799063,10799123,1,
33,33,,,10799063,10799123,1,
33,33,,,10799064,10799125,1,
33,33,,,10799066,10799127,1,
33,33,,,10799069,10799131,1,
33,33,,,10799074,10799135,1,
33,33,,,10799079,10799139,1,
33,33,,,10799082,10799141,1,
33,33,,,10799087,10799144,1,
33,33,,,10799091,10799149,1,
33,33,,,10799093,10799151,1,
18,18,,,10799100,10799156,1,
27,27,,,10799100,10799156,1,
33,33,,,10799100,10799156,1,
33,33,,,10799103,10799159,1,
94,94,,,10798990,10799160,1,
94,94,,,10798996,10799161,1,
94,94,,,10799001,10799162,1,
94,94,,,10799003,10799163,1,
94,94,,,10799006,10799165,1,
74,74,,,10798729,10799168,1,
94,94,,,10799027,10799174,1,
94,94,,,10799030,10799175,1,
94,94,,,10799033,10799176,1,
94,94,,,10799037,10799179,1,
124,124,,,10799484,10799415,1,
124,124,,,10799487,10799419,1,
124,124,,,10799578,10799431,1,
124,124,,,10799583,10799436,1,
124,124,,,10799510,10799443,1,
112,112,,,10799722,10799444,1,
124,124,,,10799512,10799445,1,
124,124,,,10799513,10799446,1,
124,124,,,10799516,10799450,1,
124,124,,,10799518,10799452,1,
116,116,,,10799519,10799454,1,
124,124,,,10799519,10799454,1,
124,124,,,10799520,10799456,1,
124,124,,,10799521,10799457,1,
116,116,,,10799523,10799459,1,
124,124,,,10799523,10799459,1,
116,116,,,10799526,10799460,1,
124,124,,,10799526,10799460,1,
116,116,,,10799527,10799461,1,
124,124,,,10799527,10799461,1,
116,116,,,10799529,10799463,1,
124,124,,,10799529,10799463,1,
116,116,,,10799532,10799467,1,
124,124,,,10799532,10799467,1,
124,124,,,10799597,10799468,1,
124,124,,,10799534,10799470,1,
124,124,,,10799536,10799472,1,
124,124,,,10799537,10799473,1,
124,124,,,10799538,10799474,1,
124,124,,,10799537,10799484,1,
131,131,,,10799537,10799484,1,
131,131,,,10799600,10799484,1,
124,124,,,10799418,10799486,1,
116,116,,,10799477,10799488,1,
124,124,,,10799477,10799488,1,
116,116,,,10799422,10799489,1,
124,124,,,10799422,10799489,1,
116,116,,,10799423,10799491,1,
124,124,,,10799423,10799491,1,
124,124,,,10799425,10799493,1,
116,116,,,10799426,10799495,1,
124,124,,,10799426,10799495,1,
124,124,,,10799427,10799496,1,
124,124,,,10799429,10799497,1,
124,124,,,10799432,10799499,1,
124,124,,,10799433,10799500,1,
124,124,,,10799434,10799501,1,
124,124,,,10799435,10799502,1,
124,124,,,10799437,10799503,1,
124,124,,,10799438,10799505,1,
116,116,,,10799439,10799506,1,
124,124,,,10799439,10799506,1,
116,116,,,10799440,10799508,1,
124,124,,,10799440,10799508,1,
124,124,,,10799559,10799510,1,
140,140,,,10799609,10799510,1,
124,124,,,10799560,10799512,1,
131,131,,,10799590,10799512,1,
124,124,,,10799561,10799513,1,
131,131,,,10799591,10799514,1,
124,124,,,10799563,10799516,1,
124,124,,,10799564,10799518,1,
131,131,,,10799592,10799518,1,
124,124,,,10799566,10799520,1,
140,140,,,10799611,10799520,1,
131,131,,,10799593,10799521,1,
124,124,,,10799453,10799522,1,
124,124,,,10799738,10799522,1,
124,124,,,10799458,10799524,1,
131,131,,,10799595,10799527,1,
124,124,,,10799462,10799528,1,
124,124,,,10799464,10799530,1,
124,124,,,10799466,10799531,1,
124,124,,,10799469,10799533,1,
140,140,,,10799615,10799534,1,
124,124,,,10799471,10799535,1,
124,124,,,10799573,10799536,1,
124,124,,,10799574,10799537,1,
124,124,,,10799475,10799539,1,
124,124,,,10799576,10799539,1,
124,124,,,10799493,10799542,1,
124,124,,,10799496,10799543,1,
124,124,,,10799497,10799544,1,
124,124,,,10799499,10799546,1,
124,124,,,10799500,10799547,1,
124,124,,,10799501,10799549,1,
124,124,,,10799502,10799550,1,
124,124,,,10799505,10799552,1,
124,124,,,10799528,10799569,1,
124,124,,,10799531,10799570,1,
124,124,,,10799533,10799571,1,
124,124,,,10799538,10799575,1,
131,131,,,10799489,10799577,1,
124,124,,,10799493,10799579,1,
131,131,,,10799493,10799579,1,
131,131,,,10799480,10799580,1,
131,131,,,10799499,10799581,1,
131,131,,,10799501,10799582,1,
124,124,,,10799505,10799585,1,
131,131,,,10799505,10799585,1,
131,131,,,10799522,10799594,1,
140,140,,,10799489,10799602,1,
140,140,,,10799496,10799603,1,
140,140,,,10799502,10799606,1,
140,140,,,10799522,10799612,1,
74,74,,,10800006,10799712,1,
