stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
400153,"BROADWAY/WAVERLY PL",,  40.729400, -73.993516,,,0,
400154,"BROADWAY/W 3 ST",,  40.727539, -73.995100,,,0,
400155,"BROADWAY/BLEECKER ST",,  40.726263, -73.996172,,,0,
400157,"BROADWAY/SPRING ST",,  40.722843, -73.999066,,,0,
400159,"BROADWAY/GRAND ST",,  40.720691, -74.000891,,,0,
400166,"BROADWAY/PARK PL",,  40.712679, -74.007665,,,0,
400168,"BROADWAY/CORTLANDT ST",,  40.709969, -74.009942,,,0,
400170,"BROADWAY/RECTOR ST",,  40.707554, -74.011960,,,0,
400176,"E 9 ST/BROADWAY",,  40.731425, -73.992408,,,0,
400224,"CENTRAL PK N/MALCOLM X BL",,  40.798395, -73.952601,,,0,
400225,"CENTRAL PK N/ADAM C POWELL BL",,  40.799354, -73.954975,,,0,
400226,"ADAM C POWELL BL/W 113 ST",,  40.801484, -73.953579,,,0,
400227,"ADAM C POWELL BL/W 137 ST",,  40.816789, -73.942405,,,0,
400228,"ADAM C POWELL BL/W 116 ST",,  40.803426, -73.952158,,,0,
400230,"ADAM C POWELL BL/W 121 ST",,  40.806598, -73.949844,,,0,
400231,"ADAM C POWELL BL/W 123 ST",,  40.807520, -73.949175,,,0,
400233,"ADAM C POWELL BL/W 127 ST",,  40.810475, -73.947009,,,0,
400234,"ADAM C POWELL BL/W 129 ST",,  40.811718, -73.946105,,,0,
400236,"ADAM C POWELL BL/W 133 ST",,  40.814190, -73.944300,,,0,
400237,"ADAM C POWELL BL/W 135 ST",,  40.815549, -73.943309,,,0,
400238,"ADAM C POWELL BL/W 139 ST",,  40.818034, -73.941490,,,0,
400239,"ADAM C POWELL BL/W 141 ST",,  40.819296, -73.940571,,,0,
400240,"ADAM C POWELL BL/W 143 ST",,  40.820515, -73.939681,,,0,
400241,"ADAM C POWELL BL/W 145 ST",,  40.821878, -73.938687,,,0,
